 ,,13438,,,,,,,,,,,,
8/9/2021,,,,,,,,,,,,,,
8/10/2021,,,,,,,,,,,,,,
8/11/2021,,,,,,,,,,,,,,
8/12/2021,1,126,ST2334 Chap1-1,66 mins,CS2040S - Java Kattis,60 mins,,,,,,,,
8/13/2021,2,304,ST2334 Chap1-2 ,85 mins,CS2102 - Relational Algebra,102 mins,CS2106 Process Abstraction,117 mins,,,,,,
8/14/2021,3,100,ST2334 Chap1 Tut,100 mins,,,,,,,,,,
8/15/2021,4,275,CS2102 RA,60 mins,CS2106 PA UNIX,165 mins,CS2102 SQL P1,50 mins,,,,,,
8/16/2021,5,240,CS2102 SQL P1 Tut,60 mins,CS2106 Scheduling,85 mins,CS2102 ERDM,50 mins,CS2040S Sorting,45 mins,,,,
8/17/2021,6,260,GEH1056 W2,50 mins,CS2106 IPC Threads,60 mins,CS2102,150 mins,,,,,,
8/18/2021,7,190,CS2102 Tut,190 mins,,,,,,,,,,
8/19/2021,8,0,,,,,,,,,,,,
8/20/2021,9,265,CS2040S Tut 1,100 mins,CS2106 Lab 1,165 mins,,,,,,,,
8/21/2021,10,340,CS2106 Lab 1,340 mins,,,,,,,,,,
8/22/2021,11,220,CS2102 SQL 3,100 mins,GEH1056 R1,120 mins,,,,,,,,
8/23/2021,12,260,GEQ1000,50 mins,GEH1056 BR,160 mins,ST2334 Chap 2,50 mins,,,,,,
8/24/2021,13,195,ST2334 Tut 2 Chap 2,120 mins,GEH1056,75 mins,,,,,,,,
8/25/2021,14,70,GEH1056 RR1,40 mins,CS2106 Quiz 1,30 mins,,,,,,,,
8/26/2021,15,100,GEH1056 BR,100 mins,,,,,,,,,,
8/27/2021,16,90,GEH1056,90 mins,,,,,,,,,,
8/28/2021,17,300,CS2102 Tut 2,60 mins,CS2040S Tut 2,70 mins,CS2106 Lab 1,50 mins,CS2106 Tut 2,120 mins,,,,
8/29/2021,18,100,GEH1056 W4,60 mins,CS2040S Extra Practice Tut 1,40 mins,ST2334 Tut 3,mins,,,,,,
8/30/2021,19,0,,,,,,,,,,,,
8/31/2021,20,275,ST2334 Tut 3,60 mins,CS2040S ADT,60 mins,CS2102 Project,155 mins,,,,,,
9/1/2021,21,330,GEH1056 RR2,80 mins,CS2040S Take home Asg,250 mins,,,,,,,,
9/2/2021,22,240,CS2040S Lab2,120 mins,CS2040S Take Home Asg,120 mins,,,,,,,,
9/3/2021,23,180,CS2040S Take Home Asg,120 mins,GEH1056 BR,60 mins,,,,,,,,
9/4/2021,24,250,ST2334 Quiz 1,50 mins,CS2040S Tut 3,150 mins,CS2102 Tut 3,50 mins,,,,,,
9/5/2021,25,303,CS2106 Lab 2,303 mins,,,,,,,,,,
9/6/2021,26,180,CS2106 Tut 3,100 mins,GEQ1000 Quiz & Forum,80 mins,,,,,,,,
9/7/2021,27,224,CS2102 Tut 3,65 mins,CS2106 Lab 2,70 mins,GEH1056 W5,44 mins,ST2334 Tut 4,45 mins,,,,
9/8/2021,28,200,CS2102 ERDB,60 mins,CS2106 Lab 2,110 mins,GEH1056 RR2,30 mins,,,,,,
9/9/2021,29,210,CS2102 ERDB,60 mins,CS2040S Lab 3,27 mins,CS2106 Lab 2,125 mins,,,,,,
9/10/2021,30,64,CS2040S Hashing,25 mins,CS2106 Quiz 3,15 mins,CS2102 Tut 4,24 mins,GEQ1000 Forum,,,,,
9/11/2021,31,80,CS2106/CS2102 Lec 5,80 mins,,,,,,,,,,
9/12/2021,32,70,CS2040S Tut 4/Bloom Filter,70 mins,CS2106 Tut 4,,,,,,,,,
9/13/2021,33,90,CS2040S Tut 4/Quiz,45 mins,CS2106 Tut 4,45 mins,,,,,,,,
9/14/2021,34,160,CS2102 ERDB,160 mins,,,,,,,,,,
9/15/2021,35,125,CS2040S Quiz Practice,75 mins,CS2102 Tut 4,50 mins,,,,,,,,
9/16/2021,36,320,CS2102 Tut 4,50 mins,CS2040S Lab 4,60 mins,CS2040S Takehome 2A,90 mins,CS2040S Takehome 2B,120 mins,,,,
9/17/2021,37,130,CS2040S Takehome 2B,130 mins,,,,,,,,,,
9/18/2021,38,190,CS2106 Quiz 4,40 mins,CS2106 Lecture Sync,70 mins,CS2040S Heap,80 mins,,,,,,
9/19/2021,39,210,CS2102 SQL 3,30 mins,CS2106 Tut 5,90 mins,CS2040S Midterm 2021,90 mins,,,,,,
9/20/2021,40,60,CS2040S Tut 5,60 mins,,,,,,,,,,
9/21/2021,41,150,CS2106 1920s1,90 mins,CS2106 2021s1,60 mins,,,,,,,,
9/22/2021,42,210,CS2106 2021s1,30 mins,CS2040S Mock midterm,30 mins,CS2106 Reread Lecture Notes,60 mins,CS2040S 2021s2,90 mins,,,,
9/23/2021,43,220,CS2040S 2021s2,30 mins,ST2334 Chapter 3,70 mins,CS2040S 1920s1,120 mins,,,,,,
9/24/2021,44,130,GEH1056 Week 6,55 mins,CS2102 Tut 5,75 mins,,,,,,,,
9/25/2021,45,290,CS2106 Revision,290 mins,,,,,,,,,,
9/26/2021,46,267,ST2334 Tut 5,107 mins,CS2106 1617s1,100 mins,CS2106 1718s1,60 mins,,,,,,
9/27/2021,47,220,ST2334 Tut 6,60 mins,GEH1056 RR 3,60 mins,CS2106 revision,60 mins,GEH1056 Revision,40 mins,,,,
9/28/2021,48,120,CS2106 Lab 3,120 mins,,,,,,,,,,
9/29/2021,49,0,,,,,,,,,,,,
9/30/2021,50,230,CS2040S Lab 4,50 mins,GEH1056 RR3,100 mins,ST2334 Tut 5,40 mins,CS2102 Midterm,,GEH1056 Readings,40 mins,,
10/1/2021,51,130,CS2040S Midterm,,ST2334 Quiz 2,80 mins,CS2102 Midterm,30 mins,GEH1056 Reading,20 mins,,,,
10/2/2021,52,0,,,,,,,,,,,,
10/3/2021,53,300,CS2102 AY2021 S1,90 mins,CS2102 AY1920S2,90 mins,CS2102 Tutorial Revision,120 mins,,,,,,
10/4/2021,54,260,CS2102 AY1920 S1,110 mins,CS2102 Revision,60 mins,CS2102 AY2021 S2,90 mins,,,,,,
10/5/2021,55,125,GEQ1000 Engie Quiz,35 mins,CS2106 Lab 3,90 mins,,,,,,,,
10/6/2021,56,375,CS2106 Lab 3,180 mins,CS2102 Assignment 1,195 mins,,,,,,,,
10/7/2021,57,370,PGpsql Tut 6,60 mins,CS2040S Tut 7,,CS2040S BST AVL,80 mins,CS2040S Lab 5,50 mins,CS2106 Lab 3,180 mins,,
10/8/2021,58,220,GEH1056 Week 8,50 mins,GEH1056 Week 9,50 mins,CS2106 Lab 3,120 mins,,,,,,
10/9/2021,59,195,CS2106 Memory Lec,30 mins,CS2106 Tut 6,45 mins,GEH1056 RR4,120 mins,,,,,,
10/10/2021,60,202,GEH1056 BR,,ST2334 Tut 7,82 mins,CS2040S Tut 7,120 mins,,,,,,
10/11/2021,61,320,ST2334 SPD,40 mins,ST2334 Tut 7,20 mins,GEH1056 BR,260 mins,,,,,,
10/12/2021,62,120,CS2102 Triggers,30 mins,"CS2102 Lec 10, 11",90 mins,,,,,,,,
10/13/2021,63,505,CS2102 Project,30 mins,CS2040S Takehome 3A,75 mins,CS2102 Lec 12,20 mins,CS2040S Takehome 3B,380 mins,,,,
10/14/2021,64,305,CS2040S Takehome 3B,60 mins,CS2040S Lab 6,85 mins,CS2102 Project ,40 mins,CS2040S Takehome 3C,120 mins,,,,
10/15/2021,65,180,CS2102 Project,180 mins,,,,,,,,,,
10/16/2021,66,475,CS2106 Disjoint,75 mins,CS2040S Maze,90 mins,CS2102 Tut ,30 mins,CS2102 Project,160 mins,CS2040S Tut 8,120 mins,,
10/17/2021,67,193,ST2334 Tut 8,73 mins,GEH1056 Book Review,60 mins,GEQ1000 Econs Quiz,60 mins,,,,,,
10/18/2021,68,220,CS2106 Tut 8,80 mins,ST2334 Tut 9,80 mins,GEH1056 Week 10,60 mins,,,,,,
10/19/2021,69,0,Finish Resume,,,,,,,,,,,
10/20/2021,70,90,CS2106 Quiz 8,15 mins,CS2040S Connecting,30 mins,GEH1056 RR5,45 mins,,,,,,
10/21/2021,71,300,ST2334 Lec 4,60 mins,CS2040S Lab 7,30 mins,CS2102 Project,60 mins,CS2106 Virtual Mem,60 mins,CS2040S Tut 9,90 mins,,
10/22/2021,72,165,CS2102 Tut 8,60 mins,CS2102 Project ,60 mins,GEH1056 Week 11,45 mins,,,,,,
10/23/2021,73,150,ST2334 Revision,150 mins,,,,,,,,,,
10/24/2021,74,232,ST2334 Revision,22 mins,ST2334 Quiz,30 mins,CS2106 Lab 4,180 mins,,,,,,
10/25/2021,75,268,CS2106 Lab 4,100 mins,CS2106 Tut 9,90 mins,GEQ1000 Final Paper,18 mins,GEH1056 RR5,60 mins,,,,
10/26/2021,76,420,CS2106 Lab 4,420 mins,,,,,,,,,,
10/27/2021,77,430,CS2106 Lab 4,240 mins,CS2040S TakeHome 4A,90 mins,CS2040S TakeHome 4B,100 mins,,,,,,
10/28/2021,78,425,CS2040S Lab 8,45 mins,CS2106 Lab 4,140 mins,CS2102 Project,240 mins,,,,,,
10/29/2021,79,451,CS2102 Project,431 mins,GEH1056 Week 11,20 mins,,,,,,,,
10/30/2021,80,316,CS2102 Project,306 mins,CS2106 Quiz,10 mins,,,,,,,,
10/31/2021,81,90,CS2102 Tut 9,60 mins,CS2040S Lecture SSSP1,30 mins,,,,,,,,
11/1/2021,82,265,CS2102 Tut 10,100 mins,CS2040S Tut 10,35 mins,CS2106 FS intro,60 mins,GEQ1000,23 mins,CS2106 Tut 10,47 mins,,
11/2/2021,83,128,CS2102 Project,38 mins,CS2106 Lab 4,,CS2102 Ass2,90 mins,,,,,,
11/3/2021,84,268,CS2106 Lab 4,220 mins,GEQ1000 Wallet Tut,48 mins,,,,,,,,
11/4/2021,85,210,CS2040S Lab 10,30 mins,CS2102 Project,180 mins,,,,,,,,
11/5/2021,86,115,CS2040S Lec Djikstra,100 mins,CS2040S Tut 11,,CS2106 Quiz ,15 mins,,,,,,
11/6/2021,87,100,Visualgo #1,40 mins,CS2040S Tut 11,60 mins,CS2106 Lab 4,,FooBar google Q1,30 mins,FooBar google Q2A,60 mins,FooBar google Q2B,40 mins
11/7/2021,88,290,GEH1056 Lecture 12,,ST2334 Tut 10,,CS2106 Lab 4,120 mins,CS2102 Ass2,90 mins,Visualgo #2,80 mins,Hackerrank,27 mins
11/8/2021,89,120,GEH1056 Lecture 12,50 mins,Visualgo #2,,GEH1056 Revision,70 mins,ST2334 Lec 5,,google foobar,50 mins,,
11/9/2021,90,230,Visualgo #2,55 mins,ST2334 Lec 5	,60 mins,CS2106 file implementation,75 mins,CS2106 Files tut,40 mins,,,,
11/10/2021,91,30,Visualgo #2,30 mins,,,,,,,,,,
11/11/2021,92,85,CS2040S Lab11,70 mins,Visualgo #2,15 mins,,,,,,,,
11/12/2021,93,,LC #1 Product except self,40 mins,LC #2 Pacific Ocean,40 mins,,,,,,,,
11/13/2021,94,190,CS2106 Quiz 11,10 mins,ST2334 ,180 mins,,,,,,,,
11/14/2021,95,215,ST2334 Tut 11,185 mins,ST2334 Quiz 4,30 mins,,,,,,,,
11/15/2021,96,285,CS2040S Revision,100 mins,CS2040S 1718WSQ1 30/50,100 mins,CS2040S 1718WSQ2 15/40,45 mins,Kattis,40 mins,,,,
11/16/2021,97,305,CS2040S 1819Sem4 ,110 mins,CS2040S Revision,15 mins,ST2334 Revision,240 mins,,,,,,
11/17/2021,98,325,ST2334 Sample A,120 mins,ST2334 Revision,60 mins,CS2106 1617s1,120 mins,CS2106 Revision,25 mins,,,,
11/18/2021,99,240,CS2106 Revision,120 mins,CS2106 1920s1,120 mins,,,,,,,,
11/19/2021,100,225,ST2334 Mock,30 mins,CS2102 SampleExam,40 mins,CS2102 Answer key,40 mins,ST2334 Mock B,105 mins,ST2334 Revision,10 mins,,
11/20/2021,101,245,CS2040S 2021S1,120 mins,CS2040S Revision,90 mins,ST2334 Revision,35 mins,,,,,,
11/21/2021,102,325,CS2106 Revision,90 mins,CS2102 2021S1,100 mins,ST2334 Mock C,90 mins,ST2334 Revision,45 mins,,,,
11/22/2021,103,150,CS2102 Revision,50 mins,ST2334 Revision,100 mins,,,,,,,,
11/23/2021,104,130,CS2106 2021s1,120 mins,CS2106 Revision,10 mins,,,,,,,,
11/24/2021,105,120,CS2040S 1920s1,120 mins,,,,,,,,,,
11/25/2021,106,300,CS2040S Revision,54 mins,CS2106 Revision,250 mins,,,,,,,,
11/26/2021,107,120,CS2040S Revision,120 mins,,,,,,,,,,
11/27/2021,108,100,CS2040S Revision,100 mins,,,,,,,,,,
11/28/2021,109,,,,,,,,,,,,,
11/29/2021,110,,,,,,,,,,,,,
11/30/2021,111,,,,,,,,,,,,,
12/1/2021,,,,,,,,,,,,,,
12/2/2021,,26311,245.8971963,368.5166667,,,,,,,,,,
12/3/2021,,,,,,,,,,,,,,
12/4/2021,,,,,,,,,,,,,,
12/5/2021,,,,,,,,,,,,,,
12/6/2021,,,,,,,,,,,,,,
12/7/2021,,,,,,,,,,,,,,
12/8/2021,,,,,,,,,,,,,,
12/9/2021,,,,,,,,,,,,,,
